word,taboo1,taboo2,taboo3,taboo4,taboo5
Oprah Winfrey,person
Justin Beiber,person
The Rock,person
Iron Man,person
Spiderman,person
Wonder Woman,person
Christiano Renaldo,person
Idris Elba,person
Whoopie Goldberg,person
Rihanna,person 
Michael Jackson,person
Albert Einstein,person
Lebron James,person
Michael Jordan,person
Kobe Bryant,person
Samuel L. Jackson,person
Steve Harvey,person
Jim Carrey,person
The Little Mermaid,person
Aladdin,person
Goku,person
Where’s Waldo,person
Spongebob Squarepants,person
Mickey Mouse,person
Scooby Doo,person
Optimus Prime,person
Luke Skywalker,person
Austin Powers,person
Barbie,person
Barney,person
Bugs Bunny,person
Captain America,person
Cinderella,person
Cookie Monster,person
Edward Scissorhands,person
Elsa,person
Hansel and Gretal,person
Nemo,person
Pink Panther,person
Yoda,person
The Very Hungry Caterpillar,person
Pablo Escobar,person
Little Red Riding Hood,person
Last of a Dying Breed,person
Ring bearer,person
Teacher’s pet,person
Game of Thrones
Parallel universe
IRS
Tiger King,person
Anti-vaxxer,person
Punk’d
Florida
Disney World,places
The Moon,places
Mount Everest,places
Taj Mahal,places
Statue of Liberty,places
Eiffel Tower,places
Great Wall of China,places
The White House,places
Alabama,places
Niagara Falls,places
Las Vegas,places
Central Park,places
New York City,places
Texas,places
Atlanta,places
The Principal’s office,places
First class,places
Jamaica,places
The Middle of Nowhere,places
On Thin Ice,places
Egypt,places
New Orleans,places
Dancing,activities
Homerun,activities
Parallel park,activities
Relay Race,activities
100 Meter Dash,activities
Pole vault,activities
Horseback riding,activities
Mountain climbing,activities
Snorkeling,activities
Spades,activities
Money Laundering,activities
Running a red light
Working from Home
Better late than never
A blessing in disguise
Break a leg,theatre,good luck,perform,snap,foot
Under the weather
Spilled Milk
Three’s a Crowd
Raining Cats and Dogs
Devil’s advocate 
A second wind
Cold shoulder
Meal prep





